Data,Valore patrimoniale netto (USD)
19 luglio 2023,"$ 114,9441 USD"
18 luglio 2023,$ 114.7990 USD
17 luglio 2023,$ 114.1663 USD
14 luglio 2023,$ 114.0665 USD
13 luglio 2023,$ 114.0193 USD
12 luglio 2023,$ 112.7407 USD
11 luglio 2023,"$ 111,4525 USD"
10 luglio 2023,$ 110.5396 USD
7 luglio 2023,$ 110.3268 USD
6 luglio 2023,$ 110.3678 USD
5 luglio 2023,"$ 111,7586 USD"
4 luglio 2023,$ 112.1919 USD
3 luglio 2023,"112,1659 dollari USA"
30 giugno 2023,"$ 111,7706 USD"
29 giugno 2023,$ 110.6420 USD
28 giugno 2023,$ 110.3995 USD
27 giugno 2023,"$ 110,2925 USD"
26 giugno 2023,$ 109.3603 USD
23 giugno 2023,"$ 109,6424 USD"
22 giugno 2023,$ 110.7072 USD
21 giugno 2023,$ 110.6641 USD
20 giugno 2023,$ 111.1565 USD
19 giugno 2023,"$ 111,7924 USD"
16 giugno 2023,$ 112.1260 USD
15 giugno 2023,$ 112.1869 USD
14 giugno 2023,"$ 111,8985 USD"
13 giugno 2023,$ 111.5093 USD
12 giugno 2023,$ 110.5849 USD
9 giugno 2023,"$ 109,9065 USD"
8 giugno 2023,"$ 109,6746 USD"
7 giugno 2023,$ 109.1688 USD
6 giugno 2023,"109,4684 USA"
5 giugno 2023,"$ 109,1915 USA"
2 giugno 2023,"$ 109,2442 USA"
1 giugno 2023,"$ 107,5734 USA"
31 maggio 2023,"$ 106,4515 USA"
30 maggio 2023,"$ 107,4234 USA"
29 maggio 2023,"$ 107,5706 USA"
26 maggio 2023,"$ 107,4898 USA"
25 maggio 2023,"$ 106,3592 USA"
24 maggio 2023,"$ 106,1831 USA"
23 maggio 2023,"$ 107,2296 USA"
22 maggio 2023,"$ 108,2494 USA"
19 maggio 2023,"$ 108,0615 USA"
18 maggio 2023,"$ 107,9605 USA"
17 maggio 2023,"$ 107,2782 USA"
16 maggio 2023,"$106,7073 USA"
15 maggio 2023,"$ 107,2320 USA"
12 maggio 2023,"$ 106,8213 USA"
11 maggio 2023,"$ 107,0411 USA"
10 maggio 2023,"$107,3018 USA"
9 maggio 2023,"$ 107,0858 USA"
8 maggio 2023,"$ 107,5557 USA"
5 maggio 2023,"$ 107,2618 USA"
4 maggio 2023,"$ 105,7961 USA"
3 maggio 2023,"$106,2313 USA"
2 maggio 2023,"$ 106,4822 USA"
1 maggio 2023,"$ 107,5137 USA"
28 aprile 2023,"$ 107,5903 USA"
27 aprile 2023,"$ 106,8201 USA"
26 aprile 2023,"$ 105,5741 USA"
25 aprile 2023,"$ 105,8464 USA"
24 aprile 2023,"$ 107,2051 USA"
21 aprile 2023,"$ 107,0877 USA"
20 aprile 2023,"$ 107,1819 USA"
19 aprile 2023,"$ 107,5299 USA"
18 aprile 2023,"$ 107,7420 USA"
17 aprile 2023,"$ 107,4808 USA"
14 aprile 2023,107.3998 $US
13 aprile 2023,107.4688 $US
12 aprile 2023,106.2937 $ USA
11 aprile 2023,106.3459 $US
10 aprile 2023,105.8791 $US
06 aprile 2023,105.9768 $US
05 aprile 2023,105.8076 $US
04 aprile 2023,106.2253 $ USA
03 aprile 2023,106.4290 $US
31 marzo 2023,106.0006 $ USA
30 marzo 2023,104.8949 $US
29 marzo 2023,104.0731 $US
28 marzo 2023,102.8089 $US
27 marzo 2023,102.6385 $US
24 marzo 2023,102.4179 $ USA
23 marzo 2023,102.6320 $US
22 marzo 2023,102.0573 $ USA
21 marzo 2023,102.7632 $ USA
20 marzo 2023,101.5414 $ USA
17 marzo 2023,"$ 100,9379 USD"
16 marzo 2023,$ 101.5188 USD
15 marzo 2023,$ 100.6594 USD
14 marzo 2023,$ 101.8152 USD
13 marzo 2023,"$ 101,0098 USD"
10 marzo 2023,$ 101.4017 USD
9 marzo 2023,"$ 102,6746 USD"
8 marzo 2023,"$ 103,8634 USD"
7 marzo 2023,"$ 103,9475 USD"
6 marzo 2023,$ 105.3587 USD
3 marzo 2023,$ 105.0367 USD
2 marzo 2023,"$ 103,6565 USD"
1 marzo 2023,$ 103.2784 USD
28 febbraio 2023,$ 103.2876 USD
27 febbraio 2023,$ 103.5466 USD
24 febbraio 2023,$ 103.1021 USD
23 febbraio 2023,$ 104.3091 USD
22 febbraio 2023,104.0119 USD
21 febbraio 2023,$ 104.5093 USD
20 febbraio 2023,$ 106.0434 USD
17 febbraio 2023,$ 105.8499 USD
16 febbraio 2023,$ 106.3340 USD
15 febbraio 2023,$ 107.0592 USD
14 febbraio 2023,$ 107.0897 USD
13 febbraio 2023,"$ 106,9790 USD"
10 febbraio 2023,"$ 106,1072 USA"
9 febbraio 2023,$ 106.4667 USD
8 febbraio 2023,"$ 106,7894 USD"
7 febbraio 2023,$ 107.3221 USD
6 febbraio 2023,$ 106.4159 USD
3 febbraio 2023,$ 107.6107 USD
2 febbraio 2023,"$ 108,6335 USD"
1 febbraio 2023,$ 107.3124 USD
31 gennaio 2023,"$ 106,3462 USD"
30 gennaio 2023,$ 105.6479 USD
27 gennaio 2023,"106,6033 USD"
26 gennaio 2023,"$ 106,3483 USD"
25 gennaio 2023,$ 105.5369 USD
24 gennaio 2023,$ 105.4783 USD
23 gennaio 2023,$ 105.4248 USD
20 gennaio 2023,$ 104.4126 USD
19 gennaio 2023,"$ 102,9920 USD"
18 gennaio 2023,"$ 103,9705 USD"
17 gennaio 2023,"$ 104,6737 USD"
16 gennaio 2023,"$ 104,6955 USD"
13 gennaio 2023,$ 104.6802 USD
12 gennaio 2023,"$ 104,0033 USD"
11 gennaio 2023,"$ 103,3137 USD"
10 gennaio 2023,$ 102.2981 USD
9 gennaio 2023,$ 102.0398 USD
6 gennaio 2023,$ 101.2604 USD
5 gennaio 2023,"$99,3719 USD"
4 gennaio 2023,$ 100.2395 USD
3 gennaio 2023,"$99,3491 USD"
2 gennaio 2023,
30 dicembre 2022,"$99,3071 USD"
29 dicembre 2022,"$99,6155 USD"
28 dicembre 2022,$ 98.4210 USD
27 dicembre 2022,"$99,2292 USD"
23 dicembre 2022,"$99,3037 USD"
22 dicembre 2022,"$99,0990 USD"
21 dicembre 2022,"$ 100,0083 USD"
20 dicembre 2022,"$98,8627 USD"
19 dicembre 2022,"$98,6925 USD"
16 dicembre 2022,"$99,3550 USD"
15 dicembre 2022,$ 100.3866 USD
14 dicembre 2022,$ 103.2386 USD
13 dicembre 2022,$ 103.4582 USD
12 dicembre 2022,"$ 102,3351 USD"
9 dicembre 2022,$ 101.8351 USD
8 dicembre 2022,"$ 101,9504 USD"
7 dicembre 2022,"$101,2912 USD"
6 dicembre 2022,$ 101.7176 USD
5 dicembre 2022,"102,9838 dollari USA"
02 dicembre 2022,"104,0781 dollari USA"
01 dicembre 2022,"104,3987 dollari USA"
30 novembre 2022,"103,5870 dollari USA"
29 novembre 2022,"101,4559 dollari USA"
28 novembre 2022,"101,3601 dollari USA"
25 novembre 2022,"102,6595 dollari USA"
24 novembre 2022,"102,7945 dollari USA"
23 novembre 2022,"102,3125 dollari USA"
22 novembre 2022,"101,5011 dollari USA"
21 novembre 2022,"100,3562 dollari USA"
18 novembre 2022,"101,1123 dollari USA"
17 novembre 2022,"100,5360 dollari USA"
16 novembre 2022,"101,1821 dollari USA"
15 novembre 2022,"101,9301 dollari USA"
14 novembre 2022,"100,8716 dollari USA"
11 novembre 2022,"101,5003 dollari USA"
10 novembre 2022,"99,6579 dollari USA"
09 novembre 2022,"95,5389 dollari USA"
08 novembre 2022,97.0010 $US
07 novembre 2022,96.2422 $US
04 novembre 2022,95.2090 $US
03 novembre 2022,93.6051 $US
02 novembre 2022,94.8247 $US
01 nov. 2022,96.2869 $US
31 ottobre 2022,96.0767 $US
28 ottobre 2022,96.4736 $US
27 ottobre 2022,95.4151 $US
26 ottobre 2022,95.7195 $US
25 ottobre 2022,95.6877 $US
24 ottobre 2022,94.1753 $US
21 ottobre 2022,93.3967 $US
20 ottobre 2022,92.3218 $US
19 ottobre 2022,92.6581 $US
18 ottobre 2022,93.4361 $US
17 ottobre 2022,92.4000 $ USA
14 ottobre 2022,90.5544 $US
13 ottobre 2022,91.5658 $US
12 ottobre 2022,90.2356 $US
11 ottobre 2022,90.5205 $US
10 ottobre 2022,91.4062 $US
07 ottobre 2022,92.3203 $US
06 ottobre 2022,94.4935 $US
05 ottobre 2022,95.1714 $US
04 ottobre 2022,95.3786 $US
03 ottobre 2022,92.4097 $US
30 settembre 2022,90.7095 $US
29 settembre 2022,91.4312 $US
28 settembre 2022,92.6134 $US
27 settembre 2022,91.6622 $US
26 settembre 2022,91.7734 $US
23 settembre 2022,93.0238 $US
22 settembre 2022,94.9214 $US
21 settembre 2022,95.9156 $US
20 settembre 2022,97.3175 $US
19 settembre 2022,
16 settembre 2022,97.8088 $US
15 settembre 2022,98.7254 USD
14 settembre 2022,$ 100.1098 USD
13 settembre 2022,"$ 100,3811 USD"
12 settembre 2022,$ 103.7154 USD
9 settembre 2022,$ 102.3899 USD
8 settembre 2022,"$ 100,6523 USD"
7 settembre 2022,"$99,8821 USD"
6 settembre 2022,"$99,0343 USD"
5 settembre 2022,"$99,4632 USD"
2 settembre 2022,$ 99.8102 USD
1 settembre 2022,$ 100.0178 USD
31 agosto 2022,"$ 100,8046 USD"
30 agosto 2022,"$ 101,3758 USD"
29 agosto 2022,$ 102.1007 USA
26 agosto 2022,$ 103.1692 USD
25 agosto 2022,$ 105.5843 USD
24 agosto 2022,$ 104.2842 USD
23 agosto 2022,$ 104.1489 USD
22 agosto 2022,"$ 104,3629 USD"
19 agosto 2022,$ 106.2096 USD
18 agosto 2022,$ 107.6131 USD
17 agosto 2022,$ 107.5589 USD
16 agosto 2022,$ 108.2510 USD
15 agosto 2022,108.2009 dollari USA
12 agosto 2022,"$ 107,9501 USD"
11 agosto 2022,$ 106.8144 USD
10 agosto 2022,$ 106.6281 USD
9 agosto 2022,"$ 104,6521 USD"
8 agosto 2022,$ 105.1603 USD
5 agosto 2022,"$ 104,9213 USD"
4 agosto 2022,$ 105.1508 USD
3 agosto 2022,"$ 104,7925 USD"
2 agosto 2022,"$ 103,8973 USD"
1 agosto 2022,"$ 104,7507 USD"
29 luglio 2022,$ 104.6001 USD
28 luglio 2022,$ 103.4196 USD
27 luglio 2022,$ 102.1402 USD
26 luglio 2022,$ 100.4563 USD
25 luglio 2022,"$101,3139 USD"
22 luglio 2022,"$ 101,3559 USD"
21 luglio 2022,$ 101.7471 USD
20 luglio 2022,"$ 101,0417 USD"
19 luglio 2022,$ 100.4300 USD
18 luglio 2022,$ 98.4242 USD
15 luglio 2022,$ 98.2206 USD
14 luglio 2022,"$96,6672 USD"
13 luglio 2022,$ 97.5314 USD
12 luglio 2022,$ 97.8113 USD
11 luglio 2022,$ 98.5866 USD
8 luglio 2022,"$99,8506 USD"
7 luglio 2022,"$99,7248 USD"
6 luglio 2022,$ 98.1985 USD
5 luglio 2022,$ 98.0660 USD
4 luglio 2022,$ 98.5605 USD
1 luglio 2022,"$98,2738 USD"
30 giugno 2022,$ 97.9208 USD
29 giugno 2022,"$99,0044 USD"
28 giugno 2022,"$99,5040 USD"
27 giugno 2022,"$ 100,7578 USD"
24 giugno 2022,$ 100.4233 USD
23 giugno 2022,"$97,8931 USD"
22 giugno 2022,$ 97.4608 USD
21 giugno 2022,"$97,9248 USD"
20 giugno 2022,"$96,1116 USD"
17 giugno 2022,"$95,8655 USD"
16 giugno 2022,"$96,0947 USD"
15 giugno 2022,"$99,2405 USD"
14 giugno 2022,$ 98.1862 USD
13 giugno 2022,$ 98.8168 USD
10 giugno 2022,$ 102.5203 USD
9 giugno 2022,"$ 105,3823 USD"
8 giugno 2022,$ 107.5079 USD
7 giugno 2022,$ 108.0868 USD
6 giugno 2022,$ 107.7099 USD
3 giugno 2022,$ 107.2318 USD
2 giugno 2022,$ 108.4014 USD
1 giugno 2022,$ 107.0227 USD
31 maggio 2022,"107,8225 USA"
30 maggio 2022,"$ 108,4959 USA"
27 maggio 2022,"$ 107,8084 USA"
26 maggio 2022,"$ 105,5954 USA"
25 maggio 2022,"$ 104,0872 USA"
24 maggio 2022,"$ 103,4199 USA"
23 maggio 2022,"$104,3072 USA"
20 maggio 2022,"$ 102,7123 USA"
19 maggio 2022,"$ 102,2977 USA"
18 maggio 2022,"$ 102,9531 USA"
17 maggio 2022,"$ 105,6212 USA"
16 maggio 2022,"$ 103,5711 USA"
13 maggio 2022,"$ 103,7606 USA"
12 maggio 2022,"$101,4955 USA"
11 maggio 2022,"$ 102,1906 USA"
10 maggio 2022,"$102,9343 USA"
9 maggio 2022,"$ 102,8391 USA"
6 maggio 2022,"$ 106,0515 USA"
5 maggio 2022,"$ 107,0727 USA"
4 maggio 2022,"$ 109,7593 USA"
3 maggio 2022,"$ 108,0346 USA"
2 maggio 2022,107.6164 $US
29 aprile 2022,107.6518 $US
28 aprile 2022,109.5507 $ USA
27 aprile 2022,107.6286 $ USA
26 aprile 2022,107.8152 $US
25 aprile 2022,109.9645 $US
22 aprile 2022,110.5055 $US
21 aprile 2022,113.2410 $ USA
20 aprile 2022,114.4586 $ USA
19 aprile 2022,114.0807 $ USA
18 aprile 2022,113.1876 $ USA
14 aprile 2022,113.5441 $US
13 aprile 2022,114.3426 $ USA
12 aprile 2022,113.4073 $ USA
11 aprile 2022,113.8453 $US
08 aprile 2022,115.3650 $ USA
07 aprile 2022,115.3765 $US
06 aprile 2022,115.5152 $ USA
05 aprile 2022,116.9404 $US
04 aprile 2022,118.0282 $ USA
01 aprile 2022,117.0096 $ USA
31 marzo 2022,"116,8745 $US"
30 marzo 2022,"118,4143 $US"
29 marzo 2022,"118,6423 $US"
28 marzo 2022,"116,8381 $US"
25 marzo 2022,"116,4516 $US"
24 marzo 2022,"116,3053 $US"
23 marzo 2022,"$115,3925 USA"
22 marzo 2022,116.1902 $US
21 marzo 2022,115.0072 $US
18 marzo 2022,"115,1127 $US"
17 marzo 2022,"114,1319 $US"
16 marzo 2022,"112,4862 $US"
15 marzo 2022,109.4960 $US
14 marzo 2022,"108,5120 $US"
11 marzo 2022,"109,2485 $US"
10 marzo 2022,110.4706 $US
9 marzo 2022,"110,6186 $US"
8 marzo 2022,"107,6525 $US"
7 marzo 2022,"108,5520 $US"
4 marzo 2022,"111,5426 $US"
3 marzo 2022,113.4256 USD
2 marzo 2022,$ 114.0978 USD
1 marzo 2022,"$ 113,1135 USD"
28 febbraio 2022,"$ 114,6653 USD"
25 febbraio 2022,"$ 114,8530 USD"
24 febbraio 2022,$ 112.1063 USD
23 febbraio 2022,"$ 112,8757 USD"
22 febbraio 2022,$ 114.2065 USD
21 febbraio 2022,$ 115.2322 USD
18 febbraio 2022,$ 115.6469 USD
17 febbraio 2022,"$ 116,6073 USD"
16 febbraio 2022,$ 118.3129 USD
15 febbraio 2022,$ 117.8970 USD
14 febbraio 2022,"$ 116,3575 USD"
11 febbraio 2022,"$ 117,5375 USD"
10 febbraio 2022,$ 119.2806 USD
9 febbraio 2022,$ 120.3663 USD
8 febbraio 2022,$ 118.5224 USD
7 febbraio 2022,"$ 117,9307 USD"
4 febbraio 2022,"$ 118,0083 USD"
3 febbraio 2022,$ 117.6411 USD
2 febbraio 2022,"$ 119,7175 USD"
1 febbraio 2022,$ 118.7671 USD
31 gennaio 2022,$ 117.7802 USD
28 gennaio 2022,$ 115.8341 USD
27 gennaio 2022,$ 114.1640 USD
26 gennaio 2022,$ 115.2178 USD
25 gennaio 2022,$ 115.0298 USD
24 gennaio 2022,"$ 116,1545 USD"
21 gennaio 2022,"$ 117,0935 USD"
20 gennaio 2022,$ 119.1313 USD
19 gennaio 2022,$ 119.4778 USD
18 gennaio 2022,"$ 120,3637 USD"
17 gennaio 2022,"$ 122,2531 USD"
14 gennaio 2022,$ 122.1841 USD
13 gennaio 2022,$ 122.5624 USD
12 gennaio 2022,$ 123.6316 USD
11 gennaio 2022,$ 122.6291 USD
10 gennaio 2022,$ 121.6157 USD
7 gennaio 2022,"$ 121,9343 USD"
6 gennaio 2022,"$ 122,0457 USD"
5 gennaio 2022,"$ 122,7551 USD"
4 gennaio 2022,$ 124.3414 USD
3 gennaio 2022,
31 dicembre 2021,"$ 123,7137 USD"
30 dicembre 2021,"$ 123,7938 USD"
29 dicembre 2021,"$ 123,9654 USD"
28 dicembre 2021,"$ 123,8775 USD"
27 dicembre 2021,
24 dicembre 2021,$ 122.6980 USD
23 dicembre 2021,"$ 122,6636 USD"
22 dicembre 2021,$ 121.7788 USD
21 dicembre 2021,"$ 120,6536 USD"
20 dicembre 2021,"$ 118,7551 USD"
17 dicembre 2021,"$ 120,3827 USD"
16 dicembre 2021,$ 121.4207 USD
15 dicembre 2021,"$ 121,9633 USD"
14 dicembre 2021,$ 120.8222 USD
13 dicembre 2021,$ 121.7110 USD
10 dicembre 2021,"122,6693 dollari USA"
09 dicembre 2021,"122,2334 dollari USA"
8 dicembre 2021,"122,9214 dollari USA"
7 dicembre 2021,"122,4566 dollari USA"
06 dicembre 2021,"119,9631 dollari USA"
03 dicembre 2021,"119,0347 dollari USA"
02 dicembre 2021,"119,9425 dollari USA"
01 dicembre 2021,"119,0539 dollari USA"
30 novembre 2021,"119,2837 dollari USA"
29 novembre 2021,"121,1746 dollari USA"
26 novembre 2021,"120,4650 dollari USA"
25 novembre 2021,"123,2112 dollari USA"
24 novembre 2021,"123,0274 dollari USA"
23 novembre 2021,"123,0345 dollari USA"
22 novembre 2021,"123,2733 dollari USA"
19 novembre 2021,"123,9720 dollari USA"
18 novembre 2021,"124,2397 dollari USA"
17 novembre 2021,"124,2258 dollari USA"
16 novembre 2021,"124,6418 dollari USA"
15 novembre 2021,"124,4295 dollari USA"
12 novembre 2021,124.3203 $ USA
11 novembre 2021,123.5121 $US
10 novembre 2021,123.4273 $ USA
09 novembre 2021,124.2893 $ USA
08 novembre 2021,124.5877 $ USA
05 novembre 2021,124.3326 $ USA
04 novembre 2021,124.1241 $US
03 novembre 2021,123.6129 $US
02 novembre 2021,123.0778 $US
01 nov. 2021,122.9156 $US
29 ottobre 2021,122.3862 $US
28 ottobre 2021,122.6459 $US
27 ottobre 2021,121.8192 $US
26 ottobre 2021,122.4716 $ USA
25 ottobre 2021,122.2111 $US
22 ottobre 2021,121.8785 $US
21 ottobre 2021,121.8871 $US
20 ottobre 2021,121.8359 $US
19 ottobre 2021,121.3796 $US
18 ottobre 2021,120.5240 $ USA
15 ottobre 2021,120.3934 $US
14 ottobre 2021,119.3466 $US
13 ottobre 2021,117.7345 $US
12 ottobre 2021,117.1750 $ USA
11 ottobre 2021,117.5596 $US
08 ottobre 2021,117.8708 $US
07 ottobre 2021,117.9104 $US
06 ottobre 2021,116.5854 $US
05 ottobre 2021,116.7168 $US
04 ottobre 2021,115.9497 $US
01 ottobre 2021,117.0396 $ USA
30 settembre 2021,116.5785 $US
29 settembre 2021,117.2999 $ USA
28 settembre 2021,117.4904 $ USA
27 settembre 2021,119.6613 $US
24 settembre 2021,119.9077 $US
23 settembre 2021,120.0912 $US
22 settembre 2021,118.8817 $ USA
21 settembre 2021,118.0561 $US
20 settembre 2021,117.8958 $US
17 settembre 2021,119.8233 $US
16 settembre 2021,120.6822 $US
15 settembre 2021,121.4358 USD
14 settembre 2021,$ 121.1638 USD
13 settembre 2021,$ 121.5322 USD
10 settembre 2021,"$ 121,4452 USD"
9 settembre 2021,$ 121.7902 USD
8 settembre 2021,"$ 122,2937 USD"
7 settembre 2021,$ 122.8278 USD
6 settembre 2021,$ 123.1794 USD
3 settembre 2021,$ 122.8773 USD
2 settembre 2021,$ 122.7389 USD
1 settembre 2021,$ 122.3807 USD
31 agosto 2021,"$ 121,9658 USD"
30 agosto 2021,$ 121.8898 USD
27 agosto 2021,"$ 121,3042 USD"
26 agosto 2021,$ 120.4341 USD
25 agosto 2021,"$ 121,0605 USD"
24 agosto 2021,"$ 120,8633 USD"
23 agosto 2021,$ 120.1744 USD
20 agosto 2021,$ 118.8792 USD
19 agosto 2021,$ 118.4610 USD
18 agosto 2021,"$ 119,2805 USD"
17 agosto 2021,$ 119.9260 USD
16 agosto 2021,$ 120.8436 USD
13 agosto 2021,"121,0505 USD"
12 agosto 2021,$ 120.8371 USD
11 agosto 2021,"$ 120,6745 USD"
10 agosto 2021,$ 120.3262 USD
9 agosto 2021,$ 120.1656 USD
6 agosto 2021,$ 120.1939 USD
5 agosto 2021,$ 120.4008 USD
4 agosto 2021,"$ 119,8727 USD"
3 agosto 2021,$ 120.0140 USD
2 agosto 2021,$ 119.4982 USD
30 luglio 2021,$ 119.0198 USD
29 luglio 2021,"$ 119,9189 USD"
28 luglio 2021,$ 118.9200 USD
27 luglio 2021,"$ 118,7539 USD"
26 luglio 2021,$ 119.4307 USD
23 luglio 2021,$ 119.4829 USD
22 luglio 2021,$ 118.8000 USA
21 luglio 2021,$ 118.2809 USD
20 luglio 2021,$ 117.2146 USD
19 luglio 2021,$ 116.3062 USD
16 luglio 2021,$ 118.2317 USD
15 luglio 2021,"$ 118,9467 USD"
14 luglio 2021,"$ 119,3630 USD"
13 luglio 2021,$ 119.3869 USD
12 luglio 2021,$ 119.5287 USD
9 luglio 2021,"$ 118,9051 USD"
8 luglio 2021,"$ 117,8539 USD"
7 luglio 2021,$ 119.0372 USD
6 luglio 2021,$ 118.8663 USD
5 luglio 2021,$ 119.2107 USD
2 luglio 2021,"$ 119,0841 USD"
1 luglio 2021,$ 118.6017 USD
30 giugno 2021,$ 118.3000 USA
29 giugno 2021,$ 118.5799 USD
28 giugno 2021,$ 118.6434 USD
25 giugno 2021,$ 118.6343 USD
24 giugno 2021,$ 118.0950 USD
23 giugno 2021,$ 117.4775 USD
22 giugno 2021,$ 117.4556 USD
21 giugno 2021,$ 116.8282 USD
