Data,Valore patrimoniale netto (USD)
1 febbraio 2017,$71.8163 USD
31 gennaio 2017,$71.7381 USD
30 gennaio 2017,"$71,7695 USD"
27 gennaio 2017,$ 72.1799 USD
26 gennaio 2017,$ 72.1871 USD
25 gennaio 2017,$ 72.2085 USD
24 gennaio 2017,$ 71.6377 USD
23 gennaio 2017,$ 71.2701 USD
20 gennaio 2017,$ 71.2400 USD
19 gennaio 2017,"$71,0048 USD"
18 gennaio 2017,$ 71.3756 USD
17 gennaio 2017,$ 71.2390 USD
16 gennaio 2017,$ 71.2246 USD
13 gennaio 2017,$71.4512 USD
12 gennaio 2017,$71.2970 USD
11 gennaio 2017,"$71,0059 USD"
10 gennaio 2017,$ 71.0478 USD
9 gennaio 2017,"$70,9025 USD"
6 gennaio 2017,$ 71.1556 USD
5 gennaio 2017,$71.1301 USD
4 gennaio 2017,$ 70.7421 USD
3 gennaio 2017,$ 70.1426 USD
30 dicembre 2016,"$69,8615 USD"
29 dicembre 2016,$ 69.8777 USD
28 dicembre 2016,$ 69.7230 USD
27 dicembre 2016,"$69,9931 USD"
23 dicembre 2016,$ 69.9205 USD
22 dicembre 2016,$ 69.8749 USD
21 dicembre 2016,$ 70.0135 USD
20 dicembre 2016,$ 70.0554 USD
19 dicembre 2016,"$69,9690 USD"
16 dicembre 2016,$ 69.8619 USD
15 dicembre 2016,$ 69.8691 USD
14 dicembre 2016,$70.6049 USD
13 dicembre 2016,"$70,9985 USD"
12 dicembre 2016,$ 70.4539 USD
9 dicembre 2016,$70.4904 USD
8 dicembre 2016,$ 70.2415 USD
7 dicembre 2016,$70.0060 USD
6 dicembre 2016,$ 69.1772 USD
5 dicembre 2016,$ 68.7530 USD
2 dicembre 2016,$ 68.4328 USD
1 dicembre 2016,$ 68.4725 USD
30 novembre 2016,$ 68.6000 USD
29 novembre 2016,$ 68.6760 USD
28 novembre 2016,$ 68.6284 USD
25 novembre 2016,$ 68.8398 USD
24 novembre 2016,$ 68.5346 USD
23 novembre 2016,68.4349 $US
22 novembre 2016,68.5740 $US
21 novembre 2016,68.3906 $US
18 novembre 2016,67.9078 $US
17 novembre 2016,68.2697 $ USA
16 novembre 2016,67.9710 $US
15 novembre 2016,68.0434 $US
14 novembre 2016,67.6913 $US
11 novembre 2016,67.9229 $US
10 novembre 2016,68.3007 $ USA
09 novembre 2016,68.0955 $US
08 novembre 2016,68.1240 $US
07 novembre 2016,67.8288 $US
04 novembre 2016,66.8119 $US
03 novembre 2016,67.1055 $US
02 novembre 2016,67.3320 $US
01 novembre 2016,67.8138 $US
31 ottobre 2016,68.0652 $US
28 ottobre 2016,68.0528 $US
27 ottobre 2016,68.1896 $ USA
26 ottobre 2016,68.4206 $ USA
25 ottobre 2016,68.5186 $US
24 ottobre 2016,68.6915 $US
21 ottobre 2016,68.4572 $US
20 ottobre 2016,68.5804 $US
19 ottobre 2016,68.6680 $US
18 ottobre 2016,68.4204 $ USA
17 ottobre 2016,67.8220 $US
14 ottobre 2016,68.0584 $US
13 ottobre 2016,67.8513 $US
12 ottobre 2016,68.1559 $US
11 ottobre 2016,68.3577 $US
10 ottobre 2016,69.1314 $US
07 ottobre 2016,68.8747 $US
06 ottobre 2016,69.1013 $US
05 ottobre 2016,69.1780 $US
04 ottobre 2016,69.0601 $US
03 ottobre 2016,69.1978 $US
30 settembre 2016,69.2165 $US
29 settembre 2016,69.0986 $US
28 settembre 2016,69.2845 $US
27 settembre 2016,69.0295 $US
26 settembre 2016,68.7971 $US
23 settembre 2016,69.4224 $US
22 settembre 2016,69.8317 $US
21 settembre 2016,69.3891 $US
20 settembre 2016,68.6716 $US
19 settembre 2016,68.6542 $US
16 settembre 2016,68.2979 $US
15 settembre 2016,68.6239 $US
14 settembre 2016,68.1588 $US
13 settembre 2016,68.2582 $US
12 settembre 2016,69.0185 $US
09 settembre 2016,68.9284 $US
settembre 2016,$ 70.3736 USD
7 settembre 2016,$ 70.4658 USD
6 settembre 2016,$ 70.3691 USD
5 settembre 2016,"$69,9494 USD"
2 settembre 2016,$ 69.7621 USD
1 settembre 2016,$ 69.2991 USD
31 agosto 2016,$ 69.1710 USD
30 agosto 2016,$ 69.3503 USD
29 agosto 2016,$ 69.3888 USD
26 agosto 2016,"$69,4523 USD"
25 agosto 2016,$ 69.4758 USD
24 agosto 2016,$ 69.6039 USD
23 agosto 2016,"$69,9285 USD"
22 agosto 2016,"$69,6947 USD"
19 agosto 2016,$ 69.7072 USD
18 agosto 2016,$ 69.9350 USD
17 agosto 2016,$ 69.6876 USD
16 agosto 2016,"$69,6973 USD"
15 agosto 2016,$70.0012 USD
12 agosto 2016,"$69,8345 USD"
11 agosto 2016,$ 69.8016 USD
10 agosto 2016,$ 69.4449 USD
9 agosto 2016,$ 69.4482 USD
8 agosto 2016,$ 69.0970 USD
5 agosto 2016,$ 68.8850 USD
4 agosto 2016,$ 68.4883 USD
agosto 2016,$ 68.2512 USD
2 agosto 2016,$ 68.4434 USD
1 agosto 2016,"$68,8833 USD"
29 luglio 2016,"$68,9621 USD"
28 luglio 2016,$ 68.4496 USD
27 luglio 2016,"$68,3937 USD"
26 luglio 2016,$ 68.3434 USD
25 luglio 2016,$ 68.2613 USD
22 luglio 2016,$ 68.3579 USD
21 luglio 2016,$ 68.3252 USD
20 luglio 2016,$ 68.3848 USD
19 luglio 2016,$ 68.0560 USD
18 luglio 2016,$ 68.2591 USD
15 luglio 2016,$ 68.1230 USD
14 luglio 2016,$ 68.1985 USD
13 luglio 2016,$ 67.8038 USD
12 luglio 2016,$ 67.6414 USD
11 luglio 2016,$ 67.0518 USD
8 luglio 2016,$ 66.3997 USD
7 luglio 2016,$ 65.7285 USD
6 luglio 2016,$ 65.5489 USD
5 luglio 2016,$ 65.8200 USD
4 luglio 2016,$ 66.4706 USD
1 luglio 2016,$ 66.4204 USD
30 giugno 2016,$66.1122
29 giugno 2016,"$65,3345 USD"
28 giugno 2016,$ 63.9227 USD
27 giugno 2016,$ 62.8484 USD
24 giugno 2016,$ 64.1694 USD
23 giugno 2016,$ 67.4996 USD
22 giugno 2016,$ 66.5930 USD
21 giugno 2016,$ 66.5888 USD
20 giugno 2016,$ 66.3811 USD
17 giugno 2016,$ 65.2289 USD
16 giugno 2016,$ 64.8801 USD
15 giugno 2016,$ 65.6624 USD
14 giugno 2016,$ 65.4916 USD
13 giugno 2016,$ 66.1013 USD
10 giugno 2016,$ 66.9380 USD
9 giugno 2016,$ 67.8912 USD
8 giugno 2016,$ 68.3112 USD
7 giugno 2016,$ 68.0565 USD
6 giugno 2016,"$67,6545 USD"
3 giugno 2016,"$67,3145 USD"
2 giugno 2016,$ 67.0672 USD
1 giugno 2016,$67.0060 USD
31 maggio 2016,"$67,0523 USD"
30 maggio 2016,$ 67.1301 USD
27 maggio 2016,$ 67.1012 USD
26 maggio 2016,$ 66.9129 USD
25 maggio 2016,$ 66.7603 USD
24 maggio 2016,$ 66.1296 USD
23 maggio 2016,$ 65.4735 USD
20 maggio 2016,65.5813 $US
19 maggio 2016,65.1034 $ USA
18 maggio 2016,65.6773 $US
17 maggio 2016,65.7456 $US
16 maggio 2016,65.9288 $US
13 maggio 2016,65.4637 $US
12 maggio 2016,66.0518 $US
11 maggio 2016,66.1611 $US
10 maggio 2016,66.4535 $US
09 maggio 2016,65.6983 $US
06 maggio 2016,65.7387 $US
05 maggio 2016,65.6872 $US
04 maggio 2016,65.8075 $US
03 maggio 2016,66.3764 $US
02 maggio 2016,67.0871 $US
29 aprile 2016,66.9474 $US
28 aprile 2016,67.1992 $US
27 aprile 2016,67.4774 $US
26 aprile 2016,67.4494 $US
25 aprile 2016,67.3104 $US
22 aprile 2016,67.4723 $US
21 aprile 2016,67.6968 $US
20 aprile 2016,67.8215 $US
19 aprile 2016,67.7780 $US
18 aprile 2016,67.0666 $US
15 aprile 2016,66.9289 $US
14 aprile 2016,66.9721 $US
13 aprile 2016,66.7335 $US
12 aprile 2016,65.8301 $US
11 aprile 2016,65.3519 $US
08 aprile 2016,65.2779 $US
07 aprile 2016,64.8355 $US
06 aprile 2016,65.2231 $US
05 aprile 2016,64.7158 $US
04 aprile 2016,65.6283 $US
01 aprile 2016,65.5833 $US
31 marzo 2016,65.9685 $US
30 marzo 2016,66.1186 $US
29 marzo 2016,65.3486 $US
28 marzo 2016,65.0075 $US
24 marzo 2016,64.8067 $US
23 marzo 2016,65.1917 $US
22 marzo 2016,65.6881 $US
21 marzo 2016,65.6710 $US
18 marzo 2016,65.7202 $US
17 marzo 2016,65.5482 $US
16 marzo 2016,64.8194 $US
15 marzo 2016,64.7397 $US
14 marzo 2016,65.1430 $ USA
11 marzo 2016,65.0610 $US
10 marzo 2016,63.9329 $US
09 marzo 2016,63.9413 $US
08 marzo 2016,63.7789 $US
07 marzo 2016,64.3272 $US
04 marzo 2016,64.3089 USD
3 marzo 2016,$ 63.8590 USD
2 marzo 2016,$ 63.3658 USD
1 marzo 2016,"$62,7465 USD"
29 febbraio 2016,$ 61.6441 USD
26 febbraio 2016,"$61,8957 USD"
25 febbraio 2016,$ 61.8420 USD
24 febbraio 2016,$ 61.1471 USD
23 febbraio 2016,$ 61.4330 USD
22 febbraio 2016,$ 62.0796 USD
19 febbraio 2016,$ 61.3083 USD
18 febbraio 2016,$ 61.5476 USD
17 febbraio 2016,$ 61.4427 USD
16 febbraio 2016,"$60,5524 USD"
15 febbraio 2016,"$59,9509 USD"
12 febbraio 2016,$ 59.1653 USD
11 febbraio 2016,$ 58.5905 USD
10 febbraio 2016,$ 59.3429 USD
9 febbraio 2016,$ 59.4151 USD
8 febbraio 2016,$ 59.8276 USD
5 febbraio 2016,"$60,7567 USD"
4 febbraio 2016,$ 61.6258 USD
3 febbraio 2016,$ 61.1823 USD
2 febbraio 2016,$ 61.1669 USD
1 febbraio 2016,$ 62.2517 USD
29 gennaio 2016,$ 62.0793 USD
28 gennaio 2016,$ 60.8610 USD
27 gennaio 2016,$ 60.7641 USD
26 gennaio 2016,$ 60.8292 USD
25 gennaio 2016,"$60,3855 USD"
22 gennaio 2016,$ 60.8891 USD
21 gennaio 2016,$ 59.3011 USD
20 gennaio 2016,$ 59.1382 USD
19 gennaio 2016,$ 60.3519 USD
18 gennaio 2016,$ 60.0388 USD
15 gennaio 2016,$ 60.3404 USD
14 gennaio 2016,$ 61.4461 USD
13 gennaio 2016,$ 61.3659 USD
12 gennaio 2016,$ 61.8980 USD
11 gennaio 2016,$ 61.7809 USD
8 gennaio 2016,$ 62.0562 USD
7 gennaio 2016,$ 62.5685 USD
6 gennaio 2016,"$63,9335 USD"
5 gennaio 2016,$ 64.7288 USD
4 gennaio 2016,$ 64.7418 USD
31 dicembre 2015,$ 66.0870 USD
30 dicembre 2015,$ 66.5416 USD
29 dicembre 2015,$ 66.9211 USD
28 dicembre 2015,$ 66.3642 USD
24 dicembre 2015,$ 66.5119 USD
23 dicembre 2015,$ 66.4076 USD
22 dicembre 2015,$ 65.5770 USD
21 dicembre 2015,"65,1518 dollari USA"
18 dicembre 2015,"64,9418 dollari USA"
17 dicembre 2015,"65,7859 dollari USA"
16 dicembre 2015,"66,4587 dollari USA"
15 dicembre 2015,"65,5793 dollari USA"
14 dicembre 2015,"65,0120 dollari USA"
11 dicembre 2015,"65,2284 dollari USA"
10 dicembre 2015,"66,2618 dollari USA"
09 dicembre 2015,"66,3350 dollari USA"
08 dicembre 2015,"66,5489 dollari USA"
07 dicembre 2015,"67,2283 dollari USA"
4 dicembre 2015,"67,5475 dollari USA"
03 dicembre 2015,"67,0299 dollari USA"
02 dicembre 2015,"67,6753 dollari USA"
01 dicembre 2015,68.1965 $US
30 novembre 2015,"67,5369 dollari USA"
27 novembre 2015,"67,8317 dollari USA"
26 novembre 2015,"68,0509 dollari USA"
25 novembre 2015,"67,8145 dollari USA"
24 novembre 2015,"67,7564 dollari USA"
23 novembre 2015,"67,8396 dollari USA"
20 novembre 2015,"68,0553 dollari USA"
19 novembre 2015,"67,9192 dollari USA"
18 novembre 2015,"67,4580 dollari USA"
17 novembre 2015,"66,9293 dollari USA"
16 novembre 2015,"66,5164 dollari USA"
13 novembre 2015,66.1133 $US
12 novembre 2015,66.8282 $US
11 novembre 2015,67.5363 $US
10 novembre 2015,67.4717 $US
09 novembre 2015,67.5797 $US
06 novembre 2015,68.0970 $US
05 novembre 2015,68.4089 $US
04 novembre 2015,68.5323 $US
03 novembre 2015,68.5902 $US
02 novembre 2015,$ 68.4328 USD
30 ottobre 2015,68.1023 $ USA
29 ottobre 2015,68.1039 $US
28 ottobre 2015,68.4899 $US
27 ottobre 2015,67.8714 $US
26 ottobre 2015,68.2302 $US
23 ottobre 2015,68.2993 $US
22 ottobre 2015,67.6041 $US
21 ottobre 2015,67.0135 $US
20 ottobre 2015,67.2029 $US
19 ottobre 2015,67.3026 $US
16 ottobre 2015,67.4239 $US
15 ottobre 2015,67.1355 $US
14 ottobre 2015,66.1942 $US
13 ottobre 2015,66.5210 $US
12 ottobre 2015,67.0775 $US
09 ottobre 2015,67.0127 $ USA
08 ottobre 2015,66.5572 $US
07 ottobre 2015,66.2179 $US
06 ottobre 2015,65.5915 $US
05 ottobre 2015,65.4065 $US
02 ottobre 2015,64.1831 $US
01 ottobre 2015,63.4487 $ USA
30 settembre 2015,63.1772 $ USA
29 settembre 2015,61.9284 $US
28 settembre 2015,62.3312 $US
25 settembre 2015,63.5556 $US
24 settembre 2015,63.2615 $US
23 settembre 2015,63.6460 $US
22 settembre 2015,63.9171 $US
21 settembre 2015,64.9731 $US
18 settembre 2015,65.1460 $US
17 settembre 2015,65.9200 $US
16 settembre 2015,66.2329 $US
15 settembre 2015,65.3963 $US
14 settembre 2015,64.9241 $US
11 settembre 2015,65.1180 $US
10 settembre 2015,65.0666 $US
09 settembre 2015,65.2156 $US
08 settembre 2015,64.9823 $US
07 settembre 2015,63.8761 $US
04 settembre 2015,63.8492 $US
03 settembre 2015,64.9302 $US
02 settembre 2015,64.6247 $ USA
01 settembre 2015,64.1357 $US
31 agosto 2015,65.8979 USD
28 agosto 2015,"$66,3518 USD"
27 agosto 2015,"$66,0043 USD"
26 agosto 2015,$ 64.5845 USD
25 agosto 2015,$ 63.4153 USD
24 agosto 2015,$ 63.4923 USD
21 agosto 2015,$ 66.0327 USD
20 agosto 2015,$ 67.8263 USD
19 agosto 2015,$ 68.9298 USD
18 agosto 2015,$ 69.6427 USD
17 agosto 2015,$ 69.8672 USD
14 agosto 2015,$ 69.7493 USD
13 agosto 2015,"$69,6652 USD"
12 agosto 2015,$ 69.6423 USD
11 agosto 2015,$ 70.0297 USD
10 agosto 2015,$70.7118 USD
7 agosto 2015,"$69,9964 USD"
6 agosto 2015,$ 70.1722 USD
5 agosto 2015,$ 70.5582 USD
4 agosto 2015,$ 70.4235 USD
3 agosto 2015,$ 70.4785 USD
31 luglio 2015,$70.7112 USD
30 luglio 2015,$ 70.4365 USD
29 luglio 2015,$ 70.5127 USD
28 luglio 2015,"$69,9467 USD"
27 luglio 2015,$ 69.4761 USD
24 luglio 2015,70.0508 USD
23 luglio 2015,"$70,7705 USD"
22 luglio 2015,"$70,9638 USD"
21 luglio 2015,$ 71.4369 USD
20 luglio 2015,$ 71.5491 USD
17 luglio 2015,$71.5514 USD
16 luglio 2015,$ 71.5845 USD
15 luglio 2015,$71.0562 USD
14 luglio 2015,$ 71.1165 USD
13 luglio 2015,$ 70.7442 USD
10 luglio 2015,"$70,1075 USD"
9 luglio 2015,$ 69.0850 USD
8 luglio 2015,$ 68.5783 USD
7 luglio 2015,$ 69.4412 USD
6 luglio 2015,$ 69.6988 USD
3 luglio 2015,$ 70.4086 USD
2 luglio 2015,$ 70.5629 USD
1 luglio 2015,$ 70.5576 USD
30 giugno 2015,$ 70.1280 USD
29 giugno 2015,"$70,0822 USD"
26 giugno 2015,$ 71.6254 USD
25 giugno 2015,"$71,8632 USD"
24 giugno 2015,$72.0459 USD
23 giugno 2015,$ 72.3950 USD
22 giugno 2015,$ 72.3487 USD
19 giugno 2015,$ 71.4899 USD
18 giugno 2015,$71.7159 USD
17 giugno 2015,$ 71.4879 USD
16 giugno 2015,$71.5144 USD
15 giugno 2015,$ 71.3216 USD
12 giugno 2015,$ 71.8623 USD
11 giugno 2015,$ 72.1688 USD
10 giugno 2015,$ 72.0685 USD
9 giugno 2015,$71.1006 USD
8 giugno 2015,$ 71.1733 USD
5 giugno 2015,$ 71.4917 USD
4 giugno 2015,$ 72.0899 USD
3 giugno 2015,"$72,6558 USD"
2 giugno 2015,$ 72.4179 USD
1 giugno 2015,$ 72.2813 USD
29 maggio 2015,$ 72.3199 USD
28 maggio 2015,$72.7904 USD
27 maggio 2015,"$72,9330 USD"
26 maggio 2015,$ 72.5377 USD
25 maggio 2015,$ 73.4170 USD
22 maggio 2015,$73.4126 USD
21 maggio 2015,$ 73.6275 USD
20 maggio 2015,$73.4009 USD
19 maggio 2015,$73.4219 USD
18 maggio 2015,$73.5916 USD
15 maggio 2015,$73.5349 USD
14 maggio 2015,$73.3291 USD
13 maggio 2015,$ 72.8187 USD
12 maggio 2015,$ 72.5587 USD
11 maggio 2015,72.7481 $US
08 maggio 2015,72.9111 $US
07 maggio 2015,71.8992 $US
06 maggio 2015,72.1337 $US
05 maggio 2015,72.2009 $US
04 maggio 2015,72.8127 $ USA
01 maggio 2015,72.6502 $US
30 aprile 2015,72.3532 $US
29 aprile 2015,73.0665 $US
28 aprile 2015,73.3860 $US
27 aprile 2015,73.2956 $US
24 aprile 2015,73.1967 $US
23 aprile 2015,72.8675 $US
22 aprile 2015,72.6160 $US
21 aprile 2015,72.3904 $US
20 aprile 2015,72.2055 $US
17 aprile 2015,71.9125 $US
16 aprile 2015,72.6204 $US
15 aprile 2015,72.3848 $US
14 aprile 2015,72.2454 $US
13 aprile 2015,72.0039 $US
10 aprile 2015,72.2111 $US
09 aprile 2015,71.8931 $US
08 aprile 2015,71.6339 $US
07 aprile 2015,71.4205 $US
06 aprile 2015,71.4148 $US
02 aprile 2015,70.7707 $US
01 aprile 2015,70.2747 $ USA
31 marzo 2015,70.3032 $US
30 marzo 2015,70.8506 $US
27 marzo 2015,70.3175 $US
26 marzo 2015,70.3079 $US
25 marzo 2015,70.8319 $US
24 marzo 2015,71.4050 $US
23 marzo 2015,71.5753 $US
20 marzo 2015,71.3923 $US
19 marzo 2015,70.5117 $ USA
18 marzo 2015,70.8165 $US
17 marzo 2015,70.1219 $US
16 marzo 2015,70.1869 $US
13 marzo 2015,69.4610 $US
12 marzo 2015,69.8505 $US
11 marzo 2015,69.1412 $US
10 marzo 2015,69.1942 $US
09 marzo 2015,70.3568 $US
06 marzo 2015,70.4549 $US
05 marzo 2015,71.2492 $US
04 marzo 2015,71.1459 $US
03 marzo 2015,71.4946 $US
02 marzo 2015,71.7842 $US
27 febbraio 2015,71.6571 $US
26 febbraio 2015,71.7180 $US
25 febbraio 2015,71.8169 $US
24 febbraio 2015,71.6986 $US
23 febbraio 2015,$71.5012 USD
20 febbraio 2015,$71.4322 USD
19 febbraio 2015,$ 71.1765 USD
18 febbraio 2015,$ 71.0896 USD
17 febbraio 2015,$70.9133 USD
16 febbraio 2015,"$70,8435 USD"
13 febbraio 2015,$ 70.8287 USD
12 febbraio 2015,$ 70.3236 USD
11 febbraio 2015,$ 69.5190 USD
10 febbraio 2015,$ 69.6994 USD
9 febbraio 2015,"$69,3332"
6 febbraio 2015,"$69,5957 USD"
5 febbraio 2015,$ 69.8740 USD
4 febbraio 2015,$ 69.4232 USD
3 febbraio 2015,$ 69.3693 USD
2 febbraio 2015,$ 68.5390 USD
30 gennaio 2015,"$67,9233"
29 gennaio 2015,$ 68.5810 USD
28 gennaio 2015,$ 68.5030 USD
27 gennaio 2015,$ 69.1136 USD
26 gennaio 2015,$ 69.3294 USD
23 gennaio 2015,$ 69.1841 USD
22 gennaio 2015,$ 69.2284 USD
21 gennaio 2015,$ 68.5884 USD
20 gennaio 2015,$ 68.1302 USD
19 gennaio 2015,"$67,9614 USD"
16 gennaio 2015,$ 67.7495 USD
15 gennaio 2015,$ 67.3295 USD
14 gennaio 2015,$ 67.3840 USD
13 gennaio 2015,$ 67.8722 USD
12 gennaio 2015,$ 67.7888 USD
9 gennaio 2015,$ 68.0816 USD
8 gennaio 2015,$ 68.4220 USD
7 gennaio 2015,$ 67.1429 USD
6 gennaio 2015,$ 66.8148 USD
5 gennaio 2015,$ 67.4865 USD
2 gennaio 2015,"$68,7655 USD"
31 dicembre 2014,"$68,9529 USD"
30 dicembre 2014,"$69,3435 USD"
29 dicembre 2014,"$69,7485 USD"
26 dicembre 2014,$ 69.5979 USD
24 dicembre 2014,$ 69.4729 USD
23 dicembre 2014,$ 69.3948 USD
22 dicembre 2014,$ 69.4122 USD
19 dicembre 2014,$ 69.0882 USD
18 dicembre 2014,$ 68.6303 USD
17 dicembre 2014,$ 67.5418 USD
16 dicembre 2014,"$66,8857 USD"
15 dicembre 2014,"$66,9605 USD"
12 dicembre 2014,"$67,8035 USD"
11 dicembre 2014,$ 68.7141 USD
10 dicembre 2014,$ 68.7829 USD
09 dicembre 2014,"69,6744 dollari USA"
08 dicembre 2014,"69,9263 dollari USA"
05 dicembre 2014,"70,4158 dollari USA"
4 dicembre 2014,"70,3669 dollari USA"
03 dicembre 2014,"70,4579 dollari USA"
02 dicembre 2014,"70,3081 dollari USA"
01 dicembre 2014,"70,0949 dollari USA"
28 novembre 2014,"70,5775 dollari USA"
27 novembre 2014,"70,8153 dollari USA"
26 novembre 2014,"70,9340 dollari USA"
25 novembre 2014,"70,7203 dollari USA"
24 novembre 2014,"70,6211 dollari USA"
21 novembre 2014,"70,4651 dollari USA"
20 novembre 2014,"69,9292 dollari USA"
19 novembre 2014,"69,8986 dollari USA"
18 novembre 2014,"70,0170 dollari USA"